Parking_lot,image,car_count
StevensCreek,04-06-2020-02-25.jpeg,0
StevensCreek,04-06-2020-02-36.jpeg,0
StevensCreek,04-06-2020-02-47.jpeg,0
StevensCreek,04-06-2020-02-58.jpeg,0
StevensCreek,04-06-2020-03-09.jpeg,0
StevensCreek,04-06-2020-03-19.jpeg,0
StevensCreek,04-06-2020-03-30.jpeg,0
StevensCreek,04-06-2020-03-41.jpeg,0
StevensCreek,04-06-2020-03-52.jpeg,0
StevensCreek,04-06-2020-04-03.jpeg,0
StevensCreek,04-06-2020-04-14.jpeg,0
StevensCreek,04-06-2020-04-25.jpeg,0
StevensCreek,04-06-2020-04-36.jpeg,0
StevensCreek,04-06-2020-04-47.jpeg,1
StevensCreek,04-06-2020-04-58.jpeg,1
StevensCreek,04-06-2020-05-09.jpeg,1
StevensCreek,04-06-2020-05-20.jpeg,1
StevensCreek,04-06-2020-05-31.jpeg,1
StevensCreek,04-06-2020-05-42.jpeg,1
StevensCreek,04-06-2020-05-53.jpeg,1
StevensCreek,04-06-2020-06-03.jpeg,1
StevensCreek,04-06-2020-06-14.jpeg,0
StevensCreek,04-06-2020-06-25.jpeg,0
StevensCreek,04-06-2020-06-35.jpeg,0
StevensCreek,04-06-2020-06-46.jpeg,0
StevensCreek,04-06-2020-06-57.jpeg,0
StevensCreek,04-06-2020-07-08.jpeg,0
StevensCreek,04-06-2020-07-19.jpeg,0
StevensCreek,04-06-2020-07-29.jpeg,0
StevensCreek,04-06-2020-07-40.jpeg,0
StevensCreek,04-06-2020-07-51.jpeg,0
StevensCreek,04-06-2020-08-02.jpeg,0
StevensCreek,04-06-2020-08-13.jpeg,0
StevensCreek,04-06-2020-08-25.jpeg,0
StevensCreek,04-06-2020-08-35.jpeg,0
StevensCreek,04-06-2020-08-45.jpeg,0
StevensCreek,04-06-2020-08-55.jpeg,0
StevensCreek,04-06-2020-09-06.jpeg,0
StevensCreek,04-06-2020-09-16.jpeg,0
StevensCreek,04-06-2020-09-26.jpeg,0
StevensCreek,04-06-2020-09-36.jpeg,0
StevensCreek,04-06-2020-09-46.jpeg,0
StevensCreek,04-06-2020-09-56.jpeg,0
StevensCreek,04-06-2020-10-06.jpeg,0
StevensCreek,04-06-2020-10-16.jpeg,0
StevensCreek,04-06-2020-10-26.jpeg,0
StevensCreek,04-06-2020-10-36.jpeg,0
StevensCreek,04-06-2020-10-46.jpeg,0
StevensCreek,04-06-2020-10-56.jpeg,0
StevensCreek,04-06-2020-11-06.jpeg,1
StevensCreek,04-06-2020-11-16.jpeg,1
StevensCreek,04-06-2020-11-26.jpeg,1
StevensCreek,04-06-2020-11-36.jpeg,1
StevensCreek,04-06-2020-11-46.jpeg,2
StevensCreek,04-06-2020-11-56.jpeg,2
StevensCreek,04-06-2020-12-06.jpeg,0
StevensCreek,04-06-2020-12-16.jpeg,0
StevensCreek,04-06-2020-12-26.jpeg,0
StevensCreek,04-06-2020-12-36.jpeg,0
StevensCreek,04-06-2020-12-46.jpeg,0
StevensCreek,04-06-2020-12-57.jpeg,0
StevensCreek,04-06-2020-13-07.jpeg,0
StevensCreek,04-06-2020-13-17.jpeg,0
StevensCreek,04-06-2020-13-27.jpeg,0
StevensCreek,04-06-2020-13-37.jpeg,0
StevensCreek,04-06-2020-13-47.jpeg,0
StevensCreek,04-06-2020-13-57.jpeg,0
StevensCreek,04-06-2020-14-07.jpeg,0
StevensCreek,04-06-2020-14-17.jpeg,0
StevensCreek,04-06-2020-14-27.jpeg,0
StevensCreek,04-06-2020-14-37.jpeg,0
StevensCreek,04-06-2020-14-47.jpeg,0
StevensCreek,04-06-2020-14-57.jpeg,0
StevensCreek,04-06-2020-15-07.jpeg,0
StevensCreek,04-06-2020-15-17.jpeg,0
StevensCreek,04-06-2020-15-27.jpeg,0
StevensCreek,04-06-2020-15-37.jpeg,0
StevensCreek,04-06-2020-15-47.jpeg,0
StevensCreek,04-06-2020-15-57.jpeg,0
StevensCreek,04-06-2020-16-07.jpeg,0
StevensCreek,04-06-2020-16-17.jpeg,0
StevensCreek,04-06-2020-16-28.jpeg,3
StevensCreek,04-06-2020-16-38.jpeg,4
StevensCreek,04-06-2020-16-49.jpeg,4
StevensCreek,04-06-2020-17-00.jpeg,4
StevensCreek,04-06-2020-17-10.jpeg,NA
StevensCreek,04-06-2020-17-20.jpeg,6
StevensCreek,04-06-2020-17-30.jpeg,6
StevensCreek,04-06-2020-17-41.jpeg,7
StevensCreek,04-06-2020-17-51.jpeg,8
StevensCreek,04-06-2020-18-01.jpeg,8
StevensCreek,04-06-2020-18-11.jpeg,6
StevensCreek,04-06-2020-18-22.jpeg,6
StevensCreek,04-06-2020-18-33.jpeg,5
StevensCreek,04-06-2020-18-43.jpeg,4
StevensCreek,04-06-2020-18-53.jpeg,5
StevensCreek,04-06-2020-19-03.jpeg,3
StevensCreek,04-06-2020-19-13.jpeg,3
StevensCreek,04-06-2020-19-23.jpeg,3
StevensCreek,04-06-2020-19-33.jpeg,2
StevensCreek,04-06-2020-19-43.jpeg,1
StevensCreek,04-06-2020-19-54.jpeg,2
StevensCreek,04-06-2020-20-04.jpeg,3
StevensCreek,04-06-2020-20-15.jpeg,4
StevensCreek,04-06-2020-20-26.jpeg,4
StevensCreek,04-06-2020-20-37.jpeg,4
StevensCreek,04-06-2020-20-49.jpeg,4
StevensCreek,04-06-2020-21-00.jpeg,4
StevensCreek,04-06-2020-21-11.jpeg,2
StevensCreek,04-06-2020-21-21.jpeg,2
StevensCreek,04-06-2020-21-32.jpeg,2
StevensCreek,04-06-2020-21-43.jpeg,1
StevensCreek,04-06-2020-21-54.jpeg,1
StevensCreek,04-06-2020-22-05.jpeg,0
StevensCreek,04-06-2020-22-18.jpeg,0
StevensCreek,04-06-2020-22-29.jpeg,0
StevensCreek,04-06-2020-22-40.jpeg,0
StevensCreek,04-06-2020-22-51.jpeg,0
StevensCreek,04-06-2020-23-02.jpeg,0
StevensCreek,04-06-2020-23-13.jpeg,0
StevensCreek,04-06-2020-23-24.jpeg,0
StevensCreek,04-06-2020-23-35.jpeg,0
StevensCreek,04-06-2020-23-46.jpeg,0
StevensCreek,04-06-2020-23-57.jpeg,0
