Parking_lot,file_name,month,day,year,hour,minute,yolo_car_count
StevensCreek,03-06-2020-16-40.jpeg,6,3,2020,16,40,1
StevensCreek,03-06-2020-16-50.jpeg,6,3,2020,16,50,1
StevensCreek,03-06-2020-17-00.jpeg,6,3,2020,17,0,1
StevensCreek,03-06-2020-17-10.jpeg,6,3,2020,17,10,1
StevensCreek,03-06-2020-17-20.jpeg,6,3,2020,17,20,1
IllerCreek,02-06-2020-22-00.jpeg,6,2,2020,22,0,0
IllerCreek,02-06-2020-22-10.jpeg,6,2,2020,22,10,1
IllerCreek,02-06-2020-22-20.jpeg,6,2,2020,22,20,1
IllerCreek,02-06-2020-22-31.jpeg,6,2,2020,22,31,1
IllerCreek,02-06-2020-22-41.jpeg,6,2,2020,22,41,0
IllerCreek,02-06-2020-22-53.jpeg,6,2,2020,22,53,0
IllerCreek,02-06-2020-23-04.jpeg,6,2,2020,23,4,0
IllerCreek,02-06-2020-23-15.jpeg,6,2,2020,23,15,0
IllerCreek,02-06-2020-23-26.jpeg,6,2,2020,23,26,0
IllerCreek,02-06-2020-23-37.jpeg,6,2,2020,23,37,0
IllerCreek,02-06-2020-23-49.jpeg,6,2,2020,23,49,0
IllerCreek,03-06-2020-00-00.jpeg,6,3,2020,0,0,0
IllerCreek,03-06-2020-00-11.jpeg,6,3,2020,0,11,0
IllerCreek,03-06-2020-00-22.jpeg,6,3,2020,0,22,0
IllerCreek,03-06-2020-00-33.jpeg,6,3,2020,0,33,0
IllerCreek,03-06-2020-00-44.jpeg,6,3,2020,0,44,0
IllerCreek,03-06-2020-00-54.jpeg,6,3,2020,0,54,0
IllerCreek,03-06-2020-01-05.jpeg,6,3,2020,1,5,0
IllerCreek,03-06-2020-01-16.jpeg,6,3,2020,1,16,0
IllerCreek,03-06-2020-01-27.jpeg,6,3,2020,1,27,0
IllerCreek,03-06-2020-01-37.jpeg,6,3,2020,1,37,0
IllerCreek,03-06-2020-01-49.jpeg,6,3,2020,1,49,0
IllerCreek,03-06-2020-02-01.jpeg,6,3,2020,2,1,0
IllerCreek,03-06-2020-02-12.jpeg,6,3,2020,2,12,0
IllerCreek,03-06-2020-02-22.jpeg,6,3,2020,2,22,0
IllerCreek,03-06-2020-02-33.jpeg,6,3,2020,2,33,0
IllerCreek,03-06-2020-02-44.jpeg,6,3,2020,2,44,0
IllerCreek,03-06-2020-02-55.jpeg,6,3,2020,2,55,0
IllerCreek,03-06-2020-03-06.jpeg,6,3,2020,3,6,0
IllerCreek,03-06-2020-03-17.jpeg,6,3,2020,3,17,0
IllerCreek,03-06-2020-03-29.jpeg,6,3,2020,3,29,0
IllerCreek,03-06-2020-03-40.jpeg,6,3,2020,3,40,0
IllerCreek,03-06-2020-03-51.jpeg,6,3,2020,3,51,1
IllerCreek,03-06-2020-04-02.jpeg,6,3,2020,4,2,0
IllerCreek,03-06-2020-04-12.jpeg,6,3,2020,4,12,0
IllerCreek,03-06-2020-04-23.jpeg,6,3,2020,4,23,0
IllerCreek,03-06-2020-04-35.jpeg,6,3,2020,4,35,0
IllerCreek,03-06-2020-04-45.jpeg,6,3,2020,4,45,0
IllerCreek,03-06-2020-04-58.jpeg,6,3,2020,4,58,1
IllerCreek,03-06-2020-05-09.jpeg,6,3,2020,5,9,2
IllerCreek,03-06-2020-05-20.jpeg,6,3,2020,5,20,2
IllerCreek,03-06-2020-05-31.jpeg,6,3,2020,5,31,3
IllerCreek,03-06-2020-05-42.jpeg,6,3,2020,5,42,3
IllerCreek,03-06-2020-05-53.jpeg,6,3,2020,5,53,3
IllerCreek,03-06-2020-06-03.jpeg,6,3,2020,6,3,4
IllerCreek,03-06-2020-06-14.jpeg,6,3,2020,6,14,4
IllerCreek,03-06-2020-06-25.jpeg,6,3,2020,6,25,4
IllerCreek,03-06-2020-06-36.jpeg,6,3,2020,6,36,4
IllerCreek,03-06-2020-06-47.jpeg,6,3,2020,6,47,4
IllerCreek,03-06-2020-06-57.jpeg,6,3,2020,6,57,3
IllerCreek,03-06-2020-07-08.jpeg,6,3,2020,7,8,4
IllerCreek,03-06-2020-07-19.jpeg,6,3,2020,7,19,5
IllerCreek,03-06-2020-07-30.jpeg,6,3,2020,7,30,4
IllerCreek,03-06-2020-07-41.jpeg,6,3,2020,7,41,4
IllerCreek,03-06-2020-07-52.jpeg,6,3,2020,7,52,3
IllerCreek,03-06-2020-08-03.jpeg,6,3,2020,8,3,1
IllerCreek,03-06-2020-08-14.jpeg,6,3,2020,8,14,2
IllerCreek,03-06-2020-08-25.jpeg,6,3,2020,8,25,2
IllerCreek,03-06-2020-08-36.jpeg,6,3,2020,8,36,1
